"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Domestic Travel","2022","West","Thousand","1866"
"Number of Trips by Irish Residents on Domestic Travel","2022","Southern","Thousand","5985"
"Number of Trips by Irish Residents on Domestic Travel","2022","Mid-West","Thousand","1322"
"Number of Trips by Irish Residents on Domestic Travel","2022","South-East","Thousand","1899"
"Number of Trips by Irish Residents on Domestic Travel","2022","South-West","Thousand","2763"
"Number of Trips by Irish Residents on Domestic Travel","2022","Eastern and Midland","Thousand","3817"
"Number of Trips by Irish Residents on Domestic Travel","2022","Dublin","Thousand","1861"
"Number of Trips by Irish Residents on Domestic Travel","2022","Mid-East","Thousand","1177"
"Number of Trips by Irish Residents on Domestic Travel","2022","Midland","Thousand","780"
"Number of Trips by Irish Residents on Domestic Travel","2023","State","Thousand","14309"
"Number of Trips by Irish Residents on Domestic Travel","2023","Northern and Western","Thousand","3471"
"Number of Trips by Irish Residents on Domestic Travel","2023","Border","Thousand","1520"
"Number of Trips by Irish Residents on Domestic Travel","2023","West","Thousand","1951"
"Number of Trips by Irish Residents on Domestic Travel","2023","Southern","Thousand","6457"
"Number of Trips by Irish Residents on Domestic Travel","2023","Mid-West","Thousand","1433"
"Number of Trips by Irish Residents on Domestic Travel","2023","South-East","Thousand","1993"
"Number of Trips by Irish Residents on Domestic Travel","2023","South-West","Thousand","3031"
"Number of Trips by Irish Residents on Domestic Travel","2023","Eastern and Midland","Thousand","4381"
"Number of Trips by Irish Residents on Domestic Travel","2023","Dublin","Thousand","2416"
"Number of Trips by Irish Residents on Domestic Travel","2023","Mid-East","Thousand","1257"
"Number of Trips by Irish Residents on Domestic Travel","2023","Midland","Thousand","708"
"Number of Trips by Irish Residents on Domestic Travel","2024","State","Thousand","16571"
"Number of Trips by Irish Residents on Domestic Travel","2024","Northern and Western","Thousand","4287"
"Number of Trips by Irish Residents on Domestic Travel","2024","Border","Thousand","1827"
"Number of Trips by Irish Residents on Domestic Travel","2024","West","Thousand","2461"
"Number of Trips by Irish Residents on Domestic Travel","2024","Southern","Thousand","7078"
"Number of Trips by Irish Residents on Domestic Travel","2024","Mid-West","Thousand","1775"
"Number of Trips by Irish Residents on Domestic Travel","2024","South-East","Thousand","2113"
"Number of Trips by Irish Residents on Domestic Travel","2024","South-West","Thousand","3190"
"Number of Trips by Irish Residents on Domestic Travel","2024","Eastern and Midland","Thousand","5206"
"Number of Trips by Irish Residents on Domestic Travel","2024","Dublin","Thousand","2823"
"Number of Trips by Irish Residents on Domestic Travel","2024","Mid-East","Thousand","1460"
"Number of Trips by Irish Residents on Domestic Travel","2024","Midland","Thousand","923"
"Number of Trips by Irish Residents on Domestic Travel","2025","State","Thousand","15283"
"Number of Trips by Irish Residents on Domestic Travel","2025","Northern and Western","Thousand","4064"
"Number of Trips by Irish Residents on Domestic Travel","2025","Border","Thousand","1641"
"Number of Trips by Irish Residents on Domestic Travel","2025","West","Thousand","2423"
"Number of Trips by Irish Residents on Domestic Travel","2025","Southern","Thousand","6684"
"Number of Trips by Irish Residents on Domestic Travel","2025","Mid-West","Thousand","1666"
"Number of Trips by Irish Residents on Domestic Travel","2025","South-East","Thousand","1995"
"Number of Trips by Irish Residents on Domestic Travel","2025","South-West","Thousand","3023"
"Number of Trips by Irish Residents on Domestic Travel","2025","Eastern and Midland","Thousand","4535"
"Number of Trips by Irish Residents on Domestic Travel","2025","Dublin","Thousand","2397"
"Number of Trips by Irish Residents on Domestic Travel","2025","Mid-East","Thousand","1291"
"Number of Trips by Irish Residents on Domestic Travel","2025","Midland","Thousand","848"
"Number of Nights by Irish Residents on Domestic Travel","2018","State","Thousand","28393"
"Number of Nights by Irish Residents on Domestic Travel","2018","Northern and Western","Thousand","7494"
"Number of Nights by Irish Residents on Domestic Travel","2018","Border","Thousand","2995"
"Number of Nights by Irish Residents on Domestic Travel","2018","West","Thousand","4499"
"Number of Nights by Irish Residents on Domestic Travel","2018","Southern","Thousand","14604"
"Number of Nights by Irish Residents on Domestic Travel","2018","Mid-West","Thousand","2893"
"Number of Nights by Irish Residents on Domestic Travel","2018","South-East","Thousand","4728"
"Number of Nights by Irish Residents on Domestic Travel","2018","South-West","Thousand","6983"
"Number of Nights by Irish Residents on Domestic Travel","2018","Eastern and Midland","Thousand","6295"
"Number of Nights by Irish Residents on Domestic Travel","2018","Dublin","Thousand","3673"
"Number of Nights by Irish Residents on Domestic Travel","2018","Mid-East","Thousand","1688"
"Number of Nights by Irish Residents on Domestic Travel","2018","Midland","Thousand","934"
"Number of Nights by Irish Residents on Domestic Travel","2019","State","Thousand","29469"
"Number of Nights by Irish Residents on Domestic Travel","2019","Northern and Western","Thousand","8280"
"Number of Nights by Irish Residents on Domestic Travel","2019","Border","Thousand","3151"
"Number of Nights by Irish Residents on Domestic Travel","2019","West","Thousand","5129"
"Number of Nights by Irish Residents on Domestic Travel","2019","Southern","Thousand","14795"
"Number of Nights by Irish Residents on Domestic Travel","2019","Mid-West","Thousand","2825"
"Number of Nights by Irish Residents on Domestic Travel","2019","South-East","Thousand","4587"
"Number of Nights by Irish Residents on Domestic Travel","2019","South-West","Thousand","7383"
"Number of Nights by Irish Residents on Domestic Travel","2019","Eastern and Midland","Thousand","6395"
"Number of Nights by Irish Residents on Domestic Travel","2019","Dublin","Thousand","3395"
"Number of Nights by Irish Residents on Domestic Travel","2019","Mid-East","Thousand","2138"
"Number of Nights by Irish Residents on Domestic Travel","2019","Midland","Thousand","861"
"Number of Nights by Irish Residents on Domestic Travel","2020","State","Thousand","23518"
"Number of Nights by Irish Residents on Domestic Travel","2020","Northern and Western","Thousand","7123"
"Number of Nights by Irish Residents on Domestic Travel","2020","Border","Thousand","2824"
"Number of Nights by Irish Residents on Domestic Travel","2020","West","Thousand","4299"
"Number of Nights by Irish Residents on Domestic Travel","2020","Southern","Thousand","12194"
"Number of Nights by Irish Residents on Domestic Travel","2020","Mid-West","Thousand","2722"
"Number of Nights by Irish Residents on Domestic Travel","2020","South-East","Thousand","3182"
"Number of Nights by Irish Residents on Domestic Travel","2020","South-West","Thousand","6289"
"Number of Nights by Irish Residents on Domestic Travel","2020","Eastern and Midland","Thousand","4201"
"Number of Nights by Irish Residents on Domestic Travel","2020","Dublin","Thousand","1885"
"Number of Nights by Irish Residents on Domestic Travel","2020","Mid-East","Thousand","1204"
"Number of Nights by Irish Residents on Domestic Travel","2020","Midland","Thousand","1112"
"Number of Nights by Irish Residents on Domestic Travel","2021","State","Thousand","17886"
"Number of Nights by Irish Residents on Domestic Travel","2021","Northern and Western","Thousand","5490"
"Number of Nights by Irish Residents on Domestic Travel","2021","Border","Thousand","2399"
"Number of Nights by Irish Residents on Domestic Travel","2021","West","Thousand","3091"
"Number of Nights by Irish Residents on Domestic Travel","2021","Southern","Thousand","8780"
"Number of Nights by Irish Residents on Domestic Travel","2021","Mid-West","Thousand","1731"
"Number of Nights by Irish Residents on Domestic Travel","2021","South-East","Thousand","2398"
"Number of Nights by Irish Residents on Domestic Travel","2021","South-West","Thousand","4651"
"Number of Nights by Irish Residents on Domestic Travel","2021","Eastern and Midland","Thousand","3616"
"Number of Nights by Irish Residents on Domestic Travel","2021","Dublin","Thousand","1840"
"Number of Nights by Irish Residents on Domestic Travel","2021","Mid-East","Thousand","1221"
"Number of Nights by Irish Residents on Domestic Travel","2021","Midland","Thousand","555"
"Number of Nights by Irish Residents on Domestic Travel","2022","State","Thousand","34236"
"Number of Nights by Irish Residents on Domestic Travel","2022","Northern and Western","Thousand","9368"
"Number of Nights by Irish Residents on Domestic Travel","2022","Border","Thousand","4366"
"Number of Nights by Irish Residents on Domestic Travel","2022","West","Thousand","5003"
"Number of Nights by Irish Residents on Domestic Travel","2022","Southern","Thousand","16485"
"Number of Nights by Irish Residents on Domestic Travel","2022","Mid-West","Thousand","3276"
"Number of Nights by Irish Residents on Domestic Travel","2022","South-East","Thousand","5446"
"Number of Nights by Irish Residents on Domestic Travel","2022","South-West","Thousand","7763"
"Number of Nights by Irish Residents on Domestic Travel","2022","Eastern and Midland","Thousand","8384"
"Number of Nights by Irish Residents on Domestic Travel","2022","Dublin","Thousand","3703"
"Number of Nights by Irish Residents on Domestic Travel","2022","Mid-East","Thousand","2570"
"Number of Nights by Irish Residents on Domestic Travel","2022","Midland","Thousand","2111"
"Number of Nights by Irish Residents on Domestic Travel","2023","State","Thousand","33978"
"Number of Nights by Irish Residents on Domestic Travel","2023","Northern and Western","Thousand","8190"
"Number of Nights by Irish Residents on Domestic Travel","2023","Border","Thousand","3709"
"Number of Nights by Irish Residents on Domestic Travel","2023","West","Thousand","4481"
"Number of Nights by Irish Residents on Domestic Travel","2023","Southern","Thousand","17396"
"Number of Nights by Irish Residents on Domestic Travel","2023","Mid-West","Thousand","3497"
"Number of Nights by Irish Residents on Domestic Travel","2023","South-East","Thousand","4558"
"Number of Nights by Irish Residents on Domestic Travel","2023","South-West","Thousand","9340"
"Number of Nights by Irish Residents on Domestic Travel","2023","Eastern and Midland","Thousand","8392"
"Number of Nights by Irish Residents on Domestic Travel","2023","Dublin","Thousand","4535"
"Number of Nights by Irish Residents on Domestic Travel","2023","Mid-East","Thousand","2333"
"Number of Nights by Irish Residents on Domestic Travel","2023","Midland","Thousand","1524"
"Number of Nights by Irish Residents on Domestic Travel","2024","State","Thousand","36747"
"Number of Nights by Irish Residents on Domestic Travel","2024","Northern and Western","Thousand","11273"
"Number of Nights by Irish Residents on Domestic Travel","2024","Border","Thousand","5048"
"Number of Nights by Irish Residents on Domestic Travel","2024","West","Thousand","6225"
"Number of Nights by Irish Residents on Domestic Travel","2024","Southern","Thousand","15958"
"Number of Nights by Irish Residents on Domestic Travel","2024","Mid-West","Thousand","3585"
"Number of Nights by Irish Residents on Domestic Travel","2024","South-East","Thousand","4741"
"Number of Nights by Irish Residents on Domestic Travel","2024","South-West","Thousand","7632"
"Number of Nights by Irish Residents on Domestic Travel","2024","Eastern and Midland","Thousand","9516"
"Number of Nights by Irish Residents on Domestic Travel","2024","Dublin","Thousand","5128"
"Number of Nights by Irish Residents on Domestic Travel","2024","Mid-East","Thousand","2616"
"Number of Nights by Irish Residents on Domestic Travel","2024","Midland","Thousand","1772"
"Number of Nights by Irish Residents on Domestic Travel","2025","State","Thousand","33435"
"Number of Nights by Irish Residents on Domestic Travel","2025","Northern and Western","Thousand","9022"
"Number of Nights by Irish Residents on Domestic Travel","2025","Border","Thousand","3757"
"Number of Nights by Irish Residents on Domestic Travel","2025","West","Thousand","5264"
"Number of Nights by Irish Residents on Domestic Travel","2025","Southern","Thousand","16506"
"Number of Nights by Irish Residents on Domestic Travel","2025","Mid-West","Thousand","3269"
"Number of Nights by Irish Residents on Domestic Travel","2025","South-East","Thousand","4600"
"Number of Nights by Irish Residents on Domestic Travel","2025","South-West","Thousand","8636"
"Number of Nights by Irish Residents on Domestic Travel","2025","Eastern and Midland","Thousand","7908"
"Number of Nights by Irish Residents on Domestic Travel","2025","Dublin","Thousand","3866"
"Number of Nights by Irish Residents on Domestic Travel","2025","Mid-East","Thousand","2400"
"Number of Nights by Irish Residents on Domestic Travel","2025","Midland","Thousand","1643"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Northern and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Border","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Southern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Mid-West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","South-East","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","South-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Eastern and Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Dublin","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Mid-East","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Midland","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","State","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Northern and Western","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Border","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Southern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Mid-West","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","South-East","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","South-West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Eastern and Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Dublin","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Mid-East","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Midland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","State","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Northern and Western","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Border","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Southern","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Mid-West","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","South-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","South-West","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Eastern and Midland","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Dublin","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Mid-East","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Midland","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","State","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Northern and Western","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Border","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Southern","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Mid-West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","South-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","South-West","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Eastern and Midland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Dublin","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Mid-East","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Midland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Northern and Western","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Border","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Southern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Mid-West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","South-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","South-West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Eastern and Midland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Dublin","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Mid-East","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Midland","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","State","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Northern and Western","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Border","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","West","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Southern","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Mid-West","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","South-East","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","South-West","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Eastern and Midland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Dublin","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Mid-East","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2023","Midland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","State","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Northern and Western","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Border","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Southern","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Mid-West","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","South-East","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","South-West","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Eastern and Midland","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Dublin","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Mid-East","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2024","Midland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","State","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Northern and Western","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Border","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","West","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Southern","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Mid-West","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","South-East","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","South-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Eastern and Midland","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Dublin","Nights per Trip","1.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Mid-East","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2025","Midland","Nights per Trip","1.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","State","Euro Million","2006"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Northern and Western","Euro Million","517.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Border","Euro Million","179.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","West","Euro Million","337.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Southern","Euro Million","945.2"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Mid-West","Euro Million","167.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","South-East","Euro Million","303.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","South-West","Euro Million","474.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Eastern and Midland","Euro Million","543.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Dublin","Euro Million","343"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Mid-East","Euro Million","120.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2018","Midland","Euro Million","79.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","State","Euro Million","2146.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Northern and Western","Euro Million","570.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Border","Euro Million","200.4"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","West","Euro Million","370"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Southern","Euro Million","1039.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Mid-West","Euro Million","216.7"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","South-East","Euro Million","311.8"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","South-West","Euro Million","511.1"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Eastern and Midland","Euro Million","536.6"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Dublin","Euro Million","296.5"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Mid-East","Euro Million","162.3"
"Estimated Expenditure by Irish Residents on Domestic Travel","2019","Midland","Euro Million","77.9"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","State","Euro Million","1554"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Northern and Western","Euro Million","498"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Border","Euro Million","182"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","West","Euro Million","315"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Southern","Euro Million","740"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Mid-West","Euro Million","169"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","South-East","Euro Million","180"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","South-West","Euro Million","391"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Eastern and Midland","Euro Million","316"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Dublin","Euro Million","150"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Mid-East","Euro Million","91"
"Estimated Expenditure by Irish Residents on Domestic Travel","2020","Midland","Euro Million","76"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","State","Euro Million","1291"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Northern and Western","Euro Million","375"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Border","Euro Million","136"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","West","Euro Million","239"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Southern","Euro Million","621"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Mid-West","Euro Million","117"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","South-East","Euro Million","162"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","South-West","Euro Million","342"
"Estimated Expenditure by Irish Residents on Domestic Travel","2021","Eastern and Midland","Euro Million","295"
